stt,province,region,latitude,longitude,distance_to_hanoi_km,distance_to_hcm_km,nearest_city,nearest_distance_km
1,TP. Hà Nội,ĐỒNG BẰNG SÔNG HỒNG,21.0283334,105.854041,0.0,1137.8,Hà Nội,0.0
2,Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG,21.3282166,106.4625257,71.3,1168.3,Hà Nội,71.3
3,Quảng Ninh,ĐỒNG BẰNG SÔNG HỒNG,21.1718046,107.2012742,140.7,1152.3,Hà Nội,140.7
4,Hưng Yên,ĐỒNG BẰNG SÔNG HỒNG,20.6065846,106.2843471,64.8,1088.5,Hà Nội,64.8
5,Ninh Bình,ĐỒNG BẰNG SÔNG HỒNG,20.2421142,105.9746207,88.3,1049.7,Hà Nội,88.3
6,Cao Bằng,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.7426936,106.1060926,192.4,1326.6,Hà Nội,192.4
7,Tuyên Quang,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.3382057,105.0715846,166.6,1291.1,Hà Nội,166.6
8,Lào Cai,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.3069302,104.1829592,223.7,1303.2,Hà Nội,223.7
9,Thái Nguyên,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.9610968,105.8440789,103.7,1241.3,Hà Nội,103.7
10,Lạng Sơn,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.8487579,106.6140692,120.4,1226.0,Hà Nội,120.4
11,Phú Thọ,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.3007538,105.1349604,80.5,1175.9,Hà Nội,80.5
12,Điện Biên,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.6546566,103.2168632,281.9,1258.1,Hà Nội,281.9
13,Lai Châu,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,22.2921668,103.1798662,310.0,1327.0,Hà Nội,310.0
14,Sơn La,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,21.2276769,104.1575944,177.4,1186.6,Hà Nội,177.4
15,Nghệ An,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,19.1976001,105.060676,219.8,946.3,Hà Nội,219.8
16,Hà Tĩnh,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,18.3504832,105.7623047,297.9,842.2,Hà Nội,297.9
17,Quảng Trị,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,17.2166964,106.9548246,439.3,711.8,Hà Nội,439.3
18,Quảng Ngãi,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,14.9953739,108.691729,734.8,514.9,TP.HCM,734.8
19,Gia Lai,TÂY NGUYÊN,14.0201373,108.6354524,833.1,416.9,TP.HCM,833.1
20,Đắk Lắk,TÂY NGUYÊN,12.8741856,108.7979302,959.1,328.2,TP.HCM,959.1
21,Lâm Đồng,TÂY NGUYÊN,11.6614957,108.1335279,1069.5,188.7,TP.HCM,1069.5
22,Tây Ninh,ĐÔNG NAM BỘ,11.0800527,106.2610531,1107.1,49.4,TP.HCM,1107.1
23,Đồng Nai,ĐÔNG NAM BỘ,11.4285446,107.1624245,1076.5,88.9,TP.HCM,1076.5
24,TP. Hồ Chí Minh,ĐÔNG NAM BỘ,10.7755254,106.7021047,1143.7,9.5,TP.HCM,1143.7
25,Vĩnh Long,ĐỒNG BẰNG SÔNG CỬU LONG,10.046765,106.2947443,1222.0,93.8,TP.HCM,1222.0
26,Đồng Tháp,ĐỒNG BẰNG SÔNG CỬU LONG,10.425183,105.9271362,1179.1,88.6,TP.HCM,1179.1
27,An Giang,ĐỒNG BẰNG SÔNG CỬU LONG,10.3188672,105.0432488,1194.0,182.2,TP.HCM,1194.0
28,Cà Mau,ĐỒNG BẰNG SÔNG CỬU LONG,9.0180177,105.0869724,1338.0,262.4,TP.HCM,1338.0
29,TP. Hải Phòng,ĐỒNG BẰNG SÔNG HỒNG,20.8623278,106.6799266,87.7,1116.3,Hà Nội,87.7
30,TP. Đà Nẵng,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,16.068,108.212,605.0,607.8,Hà Nội,605.0
31,TP. Huế,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,16.5530473,107.6900375,533.8,647.3,Hà Nội,533.8
32,TP. Cần Thơ,ĐỒNG BẰNG SÔNG CỬU LONG,10.0362046,105.7872656,1222.3,127.1,TP.HCM,127.1
33,Thanh Hóa,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,19.9781573,105.4816107,123.1,1025.4,Hà Nội,123.1
34,Khánh Hoà,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,12.2980751,108.9950386,1026.7,305.4,TP.HCM,305.4
